member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Aug,Friday,0,190,18.89842105263158,1839.5131589187652
casual,classic_bike,2022,Aug,Friday,1,101,24.403630363036303,1734.2297816566415
casual,classic_bike,2022,Aug,Friday,2,63,20.367460317460317,1853.4662986645878
casual,classic_bike,2022,Aug,Friday,3,50,14.96,1916.18023840706
casual,classic_bike,2022,Aug,Friday,4,16,9.355208333333334,1309.7033449040503
casual,classic_bike,2022,Aug,Friday,5,72,17.31273148148148,1908.2152613090589
casual,classic_bike,2022,Aug,Friday,6,358,30.82290502793296,2324.114686391498
casual,classic_bike,2022,Aug,Friday,7,387,15.737295434969854,2290.1598682608083
casual,classic_bike,2022,Aug,Friday,8,457,18.57060539752006,2343.550148403978
casual,classic_bike,2022,Aug,Friday,9,446,21.902428998505233,2315.325939617051
casual,classic_bike,2022,Aug,Friday,10,603,30.551520176893312,2492.5418880130696
casual,classic_bike,2022,Aug,Friday,11,823,32.21727420008101,2645.6943120171127
casual,classic_bike,2022,Aug,Friday,12,1046,27.58973868706182,2508.100047633672
casual,classic_bike,2022,Aug,Friday,13,1032,29.891327519379846,2536.5994521577195
casual,classic_bike,2022,Aug,Friday,14,1210,26.90048209366391,2495.327188472791
casual,classic_bike,2022,Aug,Friday,15,1265,25.277786561264822,2382.522145189113
casual,classic_bike,2022,Aug,Friday,16,1562,23.302880921895007,2514.986469702158
casual,classic_bike,2022,Aug,Friday,17,1958,19.686406196799457,2443.0881786974865
casual,classic_bike,2022,Aug,Friday,18,1826,19.803906535231835,2267.2101794798377
casual,classic_bike,2022,Aug,Friday,19,1579,20.17761241291957,2036.8760329983875
casual,classic_bike,2022,Aug,Friday,20,966,19.350069013112492,2020.2610703354228
casual,classic_bike,2022,Aug,Friday,21,847,22.29818968909878,1937.6392690310947
casual,classic_bike,2022,Aug,Friday,22,872,21.854243119266055,2078.9420554108997
casual,classic_bike,2022,Aug,Friday,23,755,20.40337748344371,2201.5445273459973
casual,classic_bike,2022,Aug,Monday,0,153,18.36503267973856,1773.086723031636
casual,classic_bike,2022,Aug,Monday,1,115,27.86550724637681,1872.6744001078873
casual,classic_bike,2022,Aug,Monday,2,60,24.547222222222224,1998.424392496876
casual,classic_bike,2022,Aug,Monday,3,58,25.308045977011496,1913.3903576319503
casual,classic_bike,2022,Aug,Monday,4,37,12.206306306306306,1817.2469417145433
casual,classic_bike,2022,Aug,Monday,5,74,12.998198198198198,2057.760695109718
casual,classic_bike,2022,Aug,Monday,6,253,13.616205533596839,2054.311046333892
casual,classic_bike,2022,Aug,Monday,7,381,14.247419072615923,1963.1866121212843
casual,classic_bike,2022,Aug,Monday,8,476,16.965476190476192,2001.8081469072233
casual,classic_bike,2022,Aug,Monday,9,381,22.7831583552056,2343.481760508794
casual,classic_bike,2022,Aug,Monday,10,461,29.417389732465654,2583.46764638442
casual,classic_bike,2022,Aug,Monday,11,582,25.79369988545246,2380.9254917785875
casual,classic_bike,2022,Aug,Monday,12,665,27.202556390977442,2226.681049900697
casual,classic_bike,2022,Aug,Monday,13,680,28.826078431372547,2404.5154327805367
casual,classic_bike,2022,Aug,Monday,14,677,28.34034958148695,2401.3118839117387
casual,classic_bike,2022,Aug,Monday,15,768,23.180360243055556,2389.7065788586783
casual,classic_bike,2022,Aug,Monday,16,954,22.492557651991614,2229.5810920025447
casual,classic_bike,2022,Aug,Monday,17,1472,20.407053894927536,2280.2158786905406
casual,classic_bike,2022,Aug,Monday,18,1554,20.26665594165594,2241.151897333843
casual,classic_bike,2022,Aug,Monday,19,1161,19.94506172839506,2159.2569581679886
casual,classic_bike,2022,Aug,Monday,20,738,17.641982836495032,2013.3413058614665
casual,classic_bike,2022,Aug,Monday,21,650,21.48725641025641,2103.576561720159
casual,classic_bike,2022,Aug,Monday,22,465,19.528817204301074,2119.5069326357175
casual,classic_bike,2022,Aug,Monday,23,315,21.615925925925925,2288.888192635538
casual,classic_bike,2022,Aug,Saturday,0,611,18.276513911620295,1930.2771455143904
casual,classic_bike,2022,Aug,Saturday,1,497,21.500503018108652,2118.4461152705594
casual,classic_bike,2022,Aug,Saturday,2,266,20.106140350877194,2033.1331083463358
casual,classic_bike,2022,Aug,Saturday,3,114,25.330555555555556,2124.5009648746163
casual,classic_bike,2022,Aug,Saturday,4,38,48.86184210526316,2400.2446610189677
casual,classic_bike,2022,Aug,Saturday,5,47,31.73971631205674,2433.3086263015434
casual,classic_bike,2022,Aug,Saturday,6,101,22.39108910891089,2376.850978197034
casual,classic_bike,2022,Aug,Saturday,7,177,25.43870056497175,2116.5648717450176
casual,classic_bike,2022,Aug,Saturday,8,437,23.391533180778033,2570.147963673183
casual,classic_bike,2022,Aug,Saturday,9,881,24.07082860385925,2548.437757446863
casual,classic_bike,2022,Aug,Saturday,10,1287,28.186752136752137,2695.183996652037
casual,classic_bike,2022,Aug,Saturday,11,1662,28.607791817087847,2675.3422338185915
casual,classic_bike,2022,Aug,Saturday,12,1750,28.000342857142858,2558.9615597675624
casual,classic_bike,2022,Aug,Saturday,13,1675,27.62681592039801,2664.345742823684
casual,classic_bike,2022,Aug,Saturday,14,1748,29.31341533180778,2640.7316809774366
casual,classic_bike,2022,Aug,Saturday,15,1800,27.00325,2594.4142263187928
casual,classic_bike,2022,Aug,Saturday,16,1768,25.879279788838613,2571.111355250806
casual,classic_bike,2022,Aug,Saturday,17,1780,24.3987265917603,2218.460018943957
casual,classic_bike,2022,Aug,Saturday,18,1676,23.08939936356404,2277.5670511052617
casual,classic_bike,2022,Aug,Saturday,19,1300,21.064410256410255,2086.721671379462
casual,classic_bike,2022,Aug,Saturday,20,1121,20.551962533452276,1949.530343678254
casual,classic_bike,2022,Aug,Saturday,21,951,19.971153172099545,2062.320753682181
casual,classic_bike,2022,Aug,Saturday,22,933,21.096087888531617,2047.4063814665756
casual,classic_bike,2022,Aug,Saturday,23,893,20.60237028742068,2021.2770108193915
casual,classic_bike,2022,Aug,Sunday,0,781,21.27520273154076,2083.135633827064
casual,classic_bike,2022,Aug,Sunday,1,469,19.164214641080314,2072.2356142645167
casual,classic_bike,2022,Aug,Sunday,2,355,20.80018779342723,2076.1389878865307
casual,classic_bike,2022,Aug,Sunday,3,213,20.912128325508608,2241.199125067357
casual,classic_bike,2022,Aug,Sunday,4,100,17.464,2096.3677463683453
casual,classic_bike,2022,Aug,Sunday,5,66,22.26111111111111,2175.82705337779
casual,classic_bike,2022,Aug,Sunday,6,66,25.799747474747473,2078.7506482572185
casual,classic_bike,2022,Aug,Sunday,7,146,28.57716894977169,2310.672725672167
casual,classic_bike,2022,Aug,Sunday,8,281,24.14626334519573,2234.208013164725
casual,classic_bike,2022,Aug,Sunday,9,638,28.30052246603971,2542.9059426596737
casual,classic_bike,2022,Aug,Sunday,10,912,25.838669590643274,2469.7287061192146
casual,classic_bike,2022,Aug,Sunday,11,1071,26.187394957983194,2521.8918236860454
casual,classic_bike,2022,Aug,Sunday,12,1268,28.853456887486857,2547.5742499869984
casual,classic_bike,2022,Aug,Sunday,13,1298,27.557344632768363,2441.2330821031155
casual,classic_bike,2022,Aug,Sunday,14,1334,28.839555222388807,2541.566941855846
